Ticker,Rank,Name,Market Cap,Country,Shares,6mo Gain Abs,6mo Gain Pct,1st Month Gain,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,6mo Veredict_loss,6mo Veredict_neutral,6mo Veredict_gain,6mo Veredict_big gain
HD,14,Home Depot,434920000000.0,🇺🇸 USA,1055349299.9441895,93.53000000000004,0.2970715283953755,-0.0200000000000386,0,1,0,0,0,0,0,0,0,0,0,0,0,1
UNH,15,UnitedHealth,423980000000.0,🇺🇸 USA,941842900.3021148,36.18000000000001,0.0880399075313298,-11.480000000000018,0,0,0,0,0,1,0,0,0,0,0,0,1,0
JNJ,16,Johnson & Johnson,421840000000.0,🇺🇸 USA,2632551173.2401395,-9.860000000000014,-0.0578129580768104,-4.509999999999991,0,0,0,0,0,1,0,0,0,0,1,0,0,0
LVMUY,17,LVMH,411180000000.0,🇫🇷 France,2526762121.3052297,6.409999999999997,0.0411477724996789,-2.9299999999999784,0,1,0,0,0,0,0,0,0,0,0,1,0,0
WMT,18,Walmart,408620000000.0,🇺🇸 USA,2788453664.5284567,4.050000000000011,0.0285694130925509,-1.009999999999991,0,0,1,0,0,0,0,0,0,0,0,1,0,0
005930.KS,19,Samsung,407520000000.0,🇰🇷 S. Korea,6723642963.207392,-5100.0,-0.0639899623588456,-500.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BAC,20,Bank of America,389800000000.0,🇺🇸 USA,8183917698.929246,4.869999999999997,0.114238798967863,-1.1600000000000037,0,0,0,0,1,0,0,0,0,0,0,0,1,0
600519.SS,21,Kweichow Moutai,379420000000.0,🇨🇳 China,1256191232.949278,-107.28999999999996,-0.0517986375640301,-135.94999999999982,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BABA,22,Alibaba,370090000000.0,🇨🇳 China,2710884852.036332,-76.78,-0.3648545903820567,12.819999999999991,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PG,23,Procter & Gamble,359740000000.0,🇺🇸 USA,2419884299.744384,11.47999999999999,0.0832125253696722,0.0800000000000125,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NSRGY,24,Nestlé,358040000000.0,🇨🇭 Switzerland,2753942004.4611955,7.350000000000008,0.0593699515347334,1.0699999999999932,0,0,1,0,0,0,0,0,0,0,0,1,0,0
RHHBY,25,Roche,335230000000.0,🇨🇭 Switzerland,6936271466.997725,4.980000000000004,0.1153846153846154,3.230000000000004,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MA,26,Mastercard,334060000000.0,🇺🇸 USA,982529411.764706,-43.38,-0.1164939040764809,4.509999999999991,0,0,0,0,1,0,0,0,0,0,1,0,0,0
