Unnamed: 0,Ticker,Sector
837,CRUS,Technology
838,CRVL,Financial Services
839,CRVS,Healthcare
840,CRWD,Technology
841,CRY,Healthcare
842,CS,Financial Services
843,CSAN,Energy
844,CSCO,Technology
845,CSGP,Real Estate
846,CSGS,Technology
847,CSII,Healthcare
848,CSIOY,Technology
849,CSIQ,Technology
850,CSL,Industrials
851,CSLT,Healthcare
852,CSPR,Consumer Cyclical
853,CSTE,Industrials
854,CSTM,Basic Materials
855,CSTR,Financial Services
856,CSUAY,Energy
857,CSV,Consumer Cyclical
858,CSVI,Technology
859,CSWI,Industrials
860,CSX,Industrials
861,CTAS,Industrials
862,CTBI,Financial Services
863,CTIC,Healthcare
864,CTLT,Healthcare
865,CTMX,Healthcare
866,CTOS,Industrials
867,CTRA,Energy
868,CTRE,Real Estate
869,CTS,Technology
870,CTSH,Technology
871,CTSO,Healthcare
872,CTT,Real Estate
873,CTVA,Basic Materials
874,CTXR,Healthcare
875,CTXS,Technology
876,CUBE,Real Estate
877,CUBI,Financial Services
878,CURLF,Healthcare
879,CURV,Consumer Cyclical
880,CUTR,Healthcare
881,CUZ,Real Estate
882,CVA,Industrials
883,CVBF,Financial Services
884,CVCO,Consumer Cyclical
885,CVCY,Financial Services
886,CVE,Energy
887,CVEO,Industrials
888,CVET,Healthcare
889,CVGW,Consumer Defensive
890,CVI,Energy
891,CVLT,Technology
892,CVLY,Financial Services
893,CVM,Healthcare
894,CVNA,Consumer Cyclical
895,CVS,Healthcare
896,CVX,Energy
897,CW,Industrials
898,CWCO,Utilities
899,CWEN,Utilities
900,CWH,Consumer Cyclical
901,CWK,Real Estate
902,CWST,Industrials
903,CWT,Utilities
904,CX,Basic Materials
905,CXM,Technology
906,CXP,Real Estate
907,CXW,Real Estate
908,CYBE,Technology
909,CYBR,Technology
910,CYCN,Healthcare
911,CYH,Healthcare
912,CYN,Technology
913,CYRX,Industrials
914,CYTK,Healthcare
915,CZNC,Financial Services
916,CZR,Consumer Cyclical
917,D,Utilities
918,DAKT,Technology
919,DAL,Industrials
920,DAN,Consumer Cyclical
921,DAR,Consumer Defensive
922,DARE,Healthcare
923,DASH,Communication Services
924,DASTF,Technology
925,DB,Financial Services
926,DBD,Technology
927,DBI,Consumer Cyclical
928,DBOEF,Financial Services
929,DBSDF,Financial Services
930,DBX,Technology
931,DCI,Industrials
932,DCO,Industrials
933,DCOM,Financial Services
934,DCP,Energy
935,DCPH,Healthcare
936,DCT,Technology
937,DD,Basic Materials
938,DDD,Technology
939,DDI,Communication Services
940,DDOG,Technology
941,DDS,Consumer Cyclical
942,DE,Industrials
943,DEA,Real Estate
944,DECK,Consumer Cyclical
945,DEI,Real Estate
946,DELL,Technology
947,DEN,Energy
948,DENN,Consumer Cyclical
949,DEO,Consumer Defensive
950,DERM,Healthcare
951,DESP,Consumer Cyclical
952,DFFN,Healthcare
953,DFIN,Financial Services
954,DFS,Financial Services
955,DG,Consumer Defensive
956,DGICA,Financial Services
957,DGII,Technology
958,DGLY,Industrials
959,DGX,Healthcare
960,DHI,Consumer Cyclical
961,DHR,Healthcare
962,DHT,Energy
963,DHX,Industrials
964,DIOD,Technology
965,DIS,Communication Services
